,Groserias,Vulgar,Agresivo,Ofensivo
60,"@elchascas disculpas al peo, al aire...una mierda de ser! https://t.co/Co74APss81",1,0,1
61,Como le gusta invocar estallidos sociales en otros países. De reventar un estallido social en Venezuela esta rata @NicolasMaduro pegaría un carrerón dejando un gran rayón de mierda. https://t.co/OlxnPbclSv,1,0,0
62,@fernandeznorona Los dos son un montón de mierda,1,0,1
63,ptm lo que es no tener ni mierda que hacer jajajajaja,1,0,0
64,"@HomophobicOoc Mano, q tan enfermos mentalmente tienen que estar para decir eso. Me vale mierda su religión y cultura si violan los derechos humanos de otr@s",1,1,1
65,@nosoyyojijitl Que paja ese día me bañe en loción por el waro no olía a mierda 😢,1,0,0
66,@_Santidomwelsh Eres igual de mierda que tu novia o peor,1,0,1
67,Tengo que fumar esa mierda para olvidar el pain,1,0,0
68,"@puro_beIlaqueo Mierda??? Morena eso si es mierda! De Netflix me gustan las series de comida como las crónicas del Taco, no es tan malo! MORENA SI! Jajaja",1,0,1
69,@Leila_Nash @D4MON Pero debe ser la@misma mierda con distinto olor,1,0,0
70,@CruzAzul dan pena directiva de mierda,1,0,1
71,Por ahí hay tanta gente de oro creyendo mierda por culpa de gente que se cree oro,1,0,0
72,"Party es god, pero cuando empieza a hablar el pendejo del final si se vuelve mierda xd",1,0,1
73,@PonchoGutz No confundan mierda con mermelada palerito,1,0,1
74,"@FandePobega Es un 4/10 para mi, ni a mas o menos llego su partido.... y de paso su actitud de mierda al ser reemplazado que comparto contigo lo hizo ver todavia peor!!",1,0,1
75,@PazPanquecap Puedo jurar que he visto esa mierda en mis pesadillas,1,0,1
76,@ClavdiaCornell Gente más mierda la que dejó el covid,1,0,1
77,"@alitomorenoc Ufff, va a pasar a la historia este personaje pero por las razones equivocadas… miren que asesinar y enterrar a un Partido Político que para bien o para mal fue hegemónico durante décadas, solo para no pisar la cárcel, está muy cabron. Enhorabuena, un político de mierda más. Ja",1,0,1
78,Descubrir que la gente es mierda también duele,1,0,1
79,"@CrticaConstru20 Jajajaja ""gano diez veces lo que tú"" quiere decir que no gana ni mierda.
Decime lo que presumís y te diré de lo que careces 🤣",1,0,0
80,triste es ver como no le importas una mierda a nadie,1,1,1
81,Ay wey q coraje con la señal y el internrt de mierda de sanfe,1,0,0
82,"En serio viene otro round de residente? No puede ser. 

Como es posible que permitan otra mierda de esas? @WhiteLionRecord no tiene verguenza?

Diablo darell debe estar bien mordio JAJAJAAJAJAJAJ 

Pa joder jura que es el highlight de los REMIX JAJAJAJAJAAJJAJAJAAJA",1,1,1
83,@ivansab76 @FlacaExplosiva Y eso es un chiste pendejo? Gastaste la única neurona que tenés en esa mierda… 😴 mínimo quedaste en estado vegetal después de mandar ese tuit!,1,1,1
84,"Fíjense a donde van a tirar mierda de las personas, pq luego a los que nos tiran nos enteramos de todo jaja",1,0,0
85,Seguiré recalcando que mi interés es la peor mierda que existe🥲,1,0,0
86,"@casicien @TlalpanVecinos @TlalpanAl @vecinoseguro @TlalpanCivico @SoloenTlalpan Dónde está el personal de tránsito @UCS_GCDMX @SSC_CDMX @OVIALCDMX ???? Tlalpan y Coyoacán están hechos mierda con el tráfico. Ponlos a trabajar @C5_CDMX !!! Hay que dar salida en insurgentes y Tlalpan, periférico y Tlalpan, insurgentes y circuito azteca",1,0,1
87,"pobre señora. les apuesto que no deja de ver VTV yo no me explico como una persona mayor que vivió la cuarta. pueda defender este desastre de mierda. mire señora dele gracias a LORENZO ya que usted buscaba harina del Gob. en el 2017 o 2018 y no había café, no había. https://t.co/I4wUsd4NLy",1,0,0
88,"@FerMoctezumaO Bien por Osorio Chong, Amlito Moreno a chingar a su reputisima madre pinche naco de MIERDA traidor.",1,1,1
89,Se me sale de las manos lo mierda que puedo ser 😫,1,0,1
90,"¿Quien más piensa que Netflix es una mierda , para invitarle una chela ??",1,0,1
91,Buscar renta en Mazatlán es una mierda... 🥲,1,0,0
92,"@RobertoMadrazo_ @alitomorenoc ya pactó, alito acaba de vender la poca credibilidad que tenía el pri, su corrupción lo tiene tan hundido que prefiere venderse a amlo y que el país se vaya a la mierda",1,0,0
93,"@diana_nerd los industriales y empresarios en #Mexico son unos parásitos viven de lo que pueden sacar al Estado, y/o evadir impuestos y mucha explotación laboral con sueldos de mierda y malas condiciones laborales y poca inversión en personal calificado e infraestructura de primer orden",1,0,1
94,"Ay bueno, con esto aprendí que hay que dejar a las personas con su mentalidad de mierda y que las verdaderas amigas si te defienden cuando las estas cagando tan mal y dando pena ajena",1,0,1
95,"Un par de días y nos fuimooooos de vacaciones!

-Trabajo de mierda, pero te necesito.",1,0,0
96,Jorge adonay que buena mierda 🤣,1,0,0
97,@frankogote LOS COMUNISTAS SON UNA MIERDA Y YA TE QUEDO CLARO CON EL RECHAZO.,1,0,1
98,"@callodehacha Si @RicardoAnayaC tuviera los huevos bien puestos estaría en México confrontando a @lopezobrador_ , pero como solo es un bufón cobarde de mierda desde su escondite en Atlanta ataca.",1,1,1
99,"@celesmadrigal Ridiculo es andar promoviendo odio y descriminacion en 2022, y disfrazarlos de ""opinion"" para no quedar como una mierda de persona.",1,0,1
100,"“Par de mierda' me quieren joder
Pero no soy fácil de bajar”",1,0,1
101,"@NadiValentina Tira pa’ tu charca, trinker de mierda",1,0,1
102,@PonchoGutz A que la seguridad pública actual es una mierda. Yo siento más inseguridad si veo a una patrulla pasar 3 veces fuera de mi casa a andar por la calle a las 3 de la mañana,1,0,1
103,Que mierda tener que firmar para que duerman a la perrita que intente rescatar. No puedo con mi vida ahorita 😭💔,1,0,0
104,El mundo sería una mierda sin el café ☕️ https://t.co/lhOg4OHwvk,1,0,0
105,"@AbusaRamiros esa cosa de dejar notitas prediciendo que va a hacer el otro es mierda que me da risa xddd
igual ni siquiera me desgastare defendiendolo, probablemente solo es una risita que el capitulo entero me quitaria si lo viera.",1,0,0
106,37 minutos y solo ha ingresado 1 mierda 🫠😡,1,0,0
107,No porque huela a mierda se sienta un culo.,1,0,1
108,@DearmasMasi @Luisito59247114  esta mierda debe estar mal,1,0,0
109,"@jlaram12 @lalomendozach No fue una jugada, fue todo el partido, solo le veía la espalda al pecho frío de mierda",1,0,0
110,@la_bu_ Es llegando a una tienda y a hacerlas mierda en la maquina tragamonedas hasta bajar el enojo,1,0,0
111,@Ultimo_Elegido @Romeo_257 @TvDannyZ Perdona ¿Mejor distribuida? ¿De qué mierda hablas?,1,0,0
112,Si no es una mierda es otra,1,0,0
113,Se los comento por que yo me volví así después de tanta mierda y acoso del estado.,1,0,0
114,Tuve un día de mierda 😔,1,0,0
115,No quería decirlo pero vaya día de mierda,1,0,0
116,"Si no quieres que tus empleados sean respondones, trata de no ser mierda con tus empleados. Aplica para cualquier negocio",1,0,1
117,@Palomin17772524 puta y en ese pueblo mierda hablan español siquiera pues???,1,1,1
118,"Conmigo no te portes mierda, porque te gano.",1,0,1
119,"@jorge_eduardol Tú le tirabas mierda desde el fichaje jajaja, no te hagas güey",1,0,0
120,Pinché pendejo neta,1,0,1
121,@Cherry_Bomb_bom @DavidPramo2 Si eres amlover no tienes derecho usar la palabra pendejo. Es como escupir hacia arriba,1,0,1
122,Que dlv por una de las 2 partes pero tmb me da gusto la vdd pa que me hago pendejo,1,0,0
123,yo me hago el pendejo pero yo se quienes son,1,0,0
124,Me encanta sufrir a lo pendejo,1,0,0
125,"@ChristianCast4n USTED PENDEJO, ya está como mi ex, mostrándole nuestra conversación a medio server",1,0,1
126,@HolaAmigosDeYT Nomás a puro pendejo les gusta esos vídeos meados.,1,0,1
127,"Si me engañas una vez la culpa es tuya, la segunda soy pendejo.",1,0,0
128,"@FKmacho Sí,por qué no falta el pendejo que vaya en sentido contrario.",1,0,1
129,Puro pendejo colecciona sticker de futbolistas 🫤,1,0,1
130,@GlodeJo07 @LillyTellez Pendejo,1,0,1
131,"Party es god, pero cuando empieza a hablar el pendejo del final si se vuelve mierda xd",1,0,1
132,@catrina_nortena SERÉ BREVE. ESTAS BIEN PENDEJO BOT 🤖,1,0,1
133,@JJBE27 Puro pendejo le va a las shitBas,1,0,1
134,Tenía que ser un pendejo en un Jeep https://t.co/V6TT2tAyIH,1,0,1
135,"@GovPierluisi Luma pendejo que se ha tenido como gobernador de #PuertoRico , si usted mismo #PierLuma x #MMB",1,0,1
136,"@DavidPramo2 Oye escoria, ya fuiste a visitar a tus hijos los narcomenudistas.

Muy bravucon en tuiter pero en la vida real aparte de idiota, desobligado, sin duda eres doble pendejo, en la vida real y en la vida digital.",1,1,1
137,@JuanPappierHRW @glabrador @_elfaro_ @_elcomisionado_ Si sos pendejo va Juan pipián ? O te están pagando? Cuanto por cada tuit? Te compro 10 al precio que te dan zorra vendida,1,1,1
138,@ferbelaunzaran Jajaajaj todo pendejo . Con todo y alianza...,1,0,1
139,@andreitav92 @lopezobrador_ pendejo sí? 🤔🙄,1,0,0
140,"Un pendejo del Lastarria acaba de confirmar en Chilevision que buscan un nuevo Estallido Social tras ls victoria del Rechazo. 

Váyanse bien a la conchetumareeeeeeeee",1,0,1
141,@jgnaredo Estas todo pendejo con las chingaderas que ladras.,1,1,1
142,"@YukiUwU4 El mejor remedio para la tímides y el miedo a situaciones sociales es comportart lo más pendejo posible 😂 te ayudará a no sentir la sensación de tensión de estar siendo incomodamente silenciosa. Entre menos serio sos la gente te trata mejor y más fácil, garantizado",1,0,0
143,"Jamás voy a señalar, ni hablar mal de nadie eso me hace diferente #Inquebrantables 🙏🙌👏 lección aprendida ya fue mucho tiempo de cómo decían en el barrio la inocencia del pendejo @DanielHabif gracias por ser auténtico y no entres a la política nunca por favor 🙏🙌🇲🇽👏",1,0,0
144,@ivansab76 @FlacaExplosiva Y eso es un chiste pendejo? Gastaste la única neurona que tenés en esa mierda… 😴 mínimo quedaste en estado vegetal después de mandar ese tuit!,1,1,1
145,"Eso no es ser zurdito. Es ser un reverendo pendejo. 

Y ojo, qué hay montón de gente de “ultraderecha” con esa misma narrativa. Insisto, esas pendejadas van más allá de ideologías. https://t.co/zaf619lrrZ",1,1,1
146,"@Pablo_Hdez @CitlaHM @DeniseDresserG @senadomexicano No son reyes pendejo, se deben a los ciudadanos, qué pobre educación manejan estos arrastrados",1,1,1
147,@nadamasquemeno1 JAJAJJAJAJAJAJA pendejo,1,0,1
148,@OscarPiMo Aquí en Torreón pendejo,1,0,1
149,Pendejo yo,1,0,0
150,Mi mama decía que para “pendejo” no se estudia https://t.co/qG1GLsQhUA,1,0,0
151,@weendylizeeth Dale 3 uno por mi y el otro por pendejo,1,1,1
152,"Estas cuentas de fotuto lo que dan es asco, como este jodio pendejo que escribió https://t.co/WNtOIqvo3A",1,1,1
153,@revistapolemon @lopezobrador_ No es solamente un pendejo,1,0,1
154,"Pendejo feo, todavía iba a tener consideración pero nel, vtalv jajajajajaja",1,0,1
155,@DavidcMorgaofic Jajajajajajajjjkajajjjajajajajajajajajjjajajajajkjjkjqjq estoy fumando pendejo de la risa la puta mota me regaño https://t.co/qWXsak2AiV,1,0,1
156,@ProphecyxOffic Perro pendejo,1,0,1
157,@sromero1717 @_PonchoDeNigris Jajajaja estás bien pendejo,1,0,1
158,@Ranchie62 @alarcondibujos @macariomx jajaja el bot todo pendejo,1,0,1
159,"""Ay siiii, pendejo"" 
-Yo antes de ver qué efectivamente si",1,0,1
160,@MarkoCortes @cmicnacional Tu sueldo mojito tu sueldo y la falta de transparencia no cabeza de vaca no hables a lo pendejo,1,0,1
161,@Vivianolala Quién fue el pendejo?!,1,0,1
162,@SAminadab @Nuvia_OuO No sabes leer o estás pendejo? Le dieron indicación de que el setup no se tocaba,1,0,1
163,"@_gabonavarro @m_ebrard Ebrard no sólo es más pendejo de lo que él cree, es incluso, más pendejo de lo que podemos creer todos.",1,0,1
164,"@cisnerosmarco01 @chompis_ De las birrias te faltó el pendejo de villa villa, aunque ese no cuenta por imbécil 🤣",1,0,1
165,"López es tan pendejo, que confundió una Secretaria de Estado, con la secre de ventanilla que te rebota los papeles de tu trámite....👇👇👇👇👇
https://t.co/2HQH19W4GW",1,0,1
166,"@Mad_Politico4T @_PonchoDeNigris Pendejo, pues si no conoce al tipo, imbecil, está preguntando a través de sus redes sociales para poder encontrarlo y así poder ayudarlo, de otro modo sería aún más difícil encontrarlo, mejor deja de decir mamadas y que te valga verga x40000",1,1,1
167,"Seguramente tu eres ""el pendejo este"" de alguien.
O si eres morra ""la loca esa"" de algún pendejo ese.",1,1,1
168,"Hace unos días me andaban atacando en mi trabajo con el pendejo argumento de que como yo pido muchos permisos, yo debería prepararle café al jefe. 
Cabe destacar que la persona que me lo dijo ES SU ASISTENTE (y que porque ella no le sabe a la cafetera) ¿?",1,0,0
169,@TigresOficial @christusmx @DiegoReyes Se lesiono de la vergüenza el pendejo ese.,1,0,1
170,Me caga estar aburrido porque me pongo a gastar dinero a lo pendejo,1,0,0
171,"El vato le ha de estar contando a sus colegas que me puse bien mamona pero, goey la unidad ya estaba apartada y solo estaba esperando a que me llamaras para que me entregaras. Pendejo.",1,0,1
172,"@zoramar08 Es difícil que te expliquen, pues en ocasiones salen guisados desde la cuadra, culpan a los jockeys, "" los entrenadores"" lo ponen en averiguación y los vuelven a guisar en la cuadra, así también funciona y siempre la culpa es del más pendejo ""el jockey"" está como una de tantas 👌",1,0,0
173,"@tania__rd @CitlaHM La agenda de la enemiga de las ensaladas es mucho más clara

LAMERLE LOS HUEVOS AL PENDEJO DE PALACIO UN DÍA SÍ Y EL OTRO TAMBIÉN",1,0,1
174,Jaja que pendejo https://t.co/aeZSONZopS,1,0,1
175,"Dejen de tuitear de hs, casa día encuentran nuevo pendejo del cual hablar. 

Afortunadamente su película al parecer es una 💩 y todo el mame pasara pronto.",1,0,1
176,Bueno es la hora en la que me hago pendejo en el trabajo hahahahahha,1,0,0
177,"@vitolaRadioacti @peke_tp @tania__rd @CitlaHM Pero si mañana don pendejo dice que mejor la guardia civil se queda como está, mañana mismo todos los perritos come torta van a cambiar su discurso para apoyarlo. No se trata del contexto, ni del tiempo, se trata de lamerle los huevos un día sí y el otro también",1,0,1
178,@julianvzdg @elnortelocal Porque crees que es motociclista? Obvio es un Pendejo.,1,0,1
179,"no se como existen personas que real no pueden tener una buena AMISTAD con sus exs, yo con el mío me llevo dhvs, nos llevamos mejor que cuando andábamos, si ves esto pendejo tqm 🫶🏻",1,0,0
180,"@ernestosamperp Este malviviente ha dicho algo muy grave! Le dice a todo un país q fueron manipulados y q eligieron mal. Ésta es la izquierda rancia y antidemocrática: cuando ganan fue un logro d ellos, cuando pierden el ciudadano es imbécil q se dejó manipular por los medios, ricos y el imperio",0,1,1
181,"@tania__rd @CitlaHM Si, es congruente, no como la del imbécil de palacio.

“O no saben que contestar “",0,0,1
182,@RuidoEnLaRed Pero el imbecil que está grabando y no hace nada !!! Cómplice también mai nacidos,0,1,1
183,"Es que no puedo creer aún que el wey sea tan arrimado de andar con mis conocidos, a mi me hablan sus amigos y en visto los dejo , dejar a alguien es dejar círculos, amistades para buscar la paz , no estar JODIENDO y andar donde YO TE LLEVÉ, imbecil 🥰",0,1,1
184,@artur_espinosa @lopezobrador_ @SergioSarmiento @juliopatan09 @ismael_ixma @diaz_manuel @Garcimonero @ferbelaunzaran @JTrianaT @lumendoz @V_TrujilloM @jrsestaca Jajajajaja puras fakes inventa este imbecil priandejo,0,0,1
185,"@HLGatell CHATPM imbécil, te deseo te escupan la comida en todos lados a los que vayas.",0,1,1
186,OK MEROPENEM METRONIDAZOL IMBECIL,0,0,1
187,@AdastraRegalado @MyriamMonteCruz @AdastraRegalado MEJOR POR QUE NO VAS A REIRTE DE TU MADRE IMBÉCIL,0,1,1
188,"@deniseramosm Lo que no se puede volver a repetir es tener un inepto, resentido, ignorante y mentiroso a cargo del gobierno de nuestro país. Es un perfecto imbécil.",0,1,1
189,Admirar a un imbécil te hace un imbécil al cuadrado.,0,0,1
190,"@cisnerosmarco01 @chompis_ De las birrias te faltó el pendejo de villa villa, aunque ese no cuenta por imbécil 🤣",0,0,1
191,"todos los días estaba sedada, no sé cómo acabé la prepa, soy una imbécil ahora",0,0,1
192,"@Mad_Politico4T @_PonchoDeNigris Pendejo, pues si no conoce al tipo, imbecil, está preguntando a través de sus redes sociales para poder encontrarlo y así poder ayudarlo, de otro modo sería aún más difícil encontrarlo, mejor deja de decir mamadas y que te valga verga x40000",0,0,1
193,¿Algo trascendental de este imbécil? https://t.co/FjIKl61xdl,0,0,1
194,@Xav6smo @trunksRM Denunciado por Imbécil,0,0,1
195,"Por este tuit, el fascista de @nayibbukele manda a detener a un tuitero. La deriva autoritaria de El Salvador comandada por un imbécil. https://t.co/tLJjhSkRlk",0,0,1
196,"@HolaSoyCarmelo Quien en su sano juicio le dice que no al club más grande de la historia, namas un imbécil como el",0,0,1
197,"@jaime_saborit98 @relevo Pero tú eres tonto verdad?, Con sedes en Bilbao y Madrid, y la directora deportiva Pilar Sainz enredada de Madrid? 🤣🤣🤣🤣

Pobre imbécil",0,0,1
198,@fisgonmonero No digas pendejadas!! No tienes la más paupérrima idea de lo que es la prisión preventiva !!! Es una pena anticipada y permite que el MP y POLICÍA ministerial no investigue nada porque ya tienes en la cárcel a quien se les dé la gana !! Estudia primero imbécil,0,1,1
199,CHAPIN GRAN IMBECIL QUERIENDO HACERSE EL GRACIOSO PARTE 98764324678898654311460876906426780006R3114678900086549 MILES DE MILLONES https://t.co/YaHNXpK1Zl,0,1,1
200,"¿Quien diseñó las pestañas del sat? Tremendo imbecil, ahí está uno tratando de descifrar cómo hacer un trámite que debería ser sencillo.",0,0,1
201,Hoy la gente amaneció más imbécil de lo normal marico,0,0,1
202,@JosPabl45816800 @sebascarvajalcr @Algi115 @StevenAlpizarM @tdmas_cr Con que mas se va a medir si es el torneo más importante de clubes del mundo imbecil,0,0,0
203,"@jgnaredo Jaja 😂 por hacer una pregunta pendej@ a una ""secretaria de estado"" no mms estas bien Imbecil, ni tu sabes cómo van aprender los niños. El presentador de la AMLO TV está peor de Imbecil 😂😂😂",1,0,1
204,@RaulDeLaRiva4 Eres amlover? Entonces le creíste cuando certifico ganador al kkas ahora q no le parece a ese imbecil lo atacan? Q pinche hipocresía,1,1,1
205,"@JorgeLuisMR17 Espero que no estés hablando en serio Kokis, porque pareces imbecil jaja tqm",0,0,1
206,@MrLotario Pregúntale a Peña Nieto el fue el imbécil que lo compro.  🙄,0,0,1
207,Saluden al imbécil que quitó de última hora en el Fantasy a Grimaldo (25 puntos) para poner a Chilwell (1 punto)…,0,0,1
208,"@guilbert_ga Claro.
Imbécil.
https://t.co/T5lt2raVNX
#CFE 
#durazo 
#AMLOLujoDePresidente 
#AMLOTraidorALaPatria 
#Morena",0,0,1
209,@callodehacha El callo de imbecil arrastrandose,0,0,1
210,"@HolaSoyCarmelo Golden boy jajaja pobre imbécil, pinche premio tv y novelas del fútbol, acá solo valen los premios y reconocimientos chingones, jamás hará algo el morrito, tuvo la oportunidad de su vida y ahora será uno más.",1,1,1
211,@ryo_hermoso @FelipeCalderon Justamente hoy el imbécil de @lopezobrador_ le dio la razón.,0,0,1
212,"@RyanHardy1110 @pedroferriz3 @lopezobrador_ Hay si, le digo kks y así me siento un poquito mejor y se alivia mi escozor.🤣🤣jaja la frágil dice imbecil🤣🤣🤣
Pobrecitos, sus únicos argumentos son insultar.
Pero tranquilos jaja
Esperemos ansiosos el 2024.
Ya los quiero leer.🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/yIMYaTXawP",1,1,1
213,"@yodigoyopregun2 @HectorOscos @TioNelson33 @dionhdz ¿Y por eso uno le puede decir imbécil? 

@yodigoyopregun2 no comparto en lo absoluto tu tweet",0,0,0
214,"@EdySmol .
Un político que miente en todas las ocasiones
que no cumple y nunca da explicaciones
que engaña, traiciona y le botan hasta los botones
es un imbécil al que no le quedan ni los calzones

El que entendió entendió",0,0,1
215,@LauraMex Otro imbecil que no acepta críticas,0,0,1
216,@DrDanielGollan La derecha la tenes en la cola kuka imbecil,1,0,1
217,"@PepeNader @HectorOscos @TioNelson33 @dionhdz ESE IMBECIL, ES BUENO PERO PARA VENDERSE AL MEJOR POSTOR, ¿Y TODAVIA LO QUIEREN EN LA DECEPCIÓN MEXICANA?",0,0,1
218,@HolaSoyCarmelo Individual jamás ganará nada importante el pobre imbécil,0,0,1
219,@Carloosn @Rubi_G05 Ese pobre infeliz @_Santidomwelsh todo lo toma de a juego x eso cae mal x imbécil y si es fácil publicar de sexualidad eres ese pobre diablo piensa q aun es taboo y hasta incongruente es pero ya ni lo pelen,0,1,1
220,"Mbappe nunca ganará nada importante, pobre imbécil. https://t.co/vsTOdftCq5",0,0,1
221,@_VicenteSerrano Palero es mejor... En tu caso palero imbecil,0,1,1
222,@garay_leopoldo @_PonchoDeNigris Imbecil no lo  conoce! Quiere sus datos.,0,0,1
223,"Aaah, pues no sé, tremendo imbécil. Digo, si estoy haciendo una reservación en Airbnb es porque a huevo necesito hospedarme.

Y pos, ya me dió la premisa que es tremendo imbécil, entonces mejor cancelar la reservación. Váyase ALV.",1,1,1
224,"Reserve un Airbnb, y te da chance de escribirle al Host. Le dije que estaba emocionada de ir a ese lugar y que le agradecería de antemano que me diera referencias del transporte.

Don imbécil: pero te vas a hospedar o solo necesitas ayuda con el transporte?",0,0,0
