Column1,Groserias,Vulgar,Agresivo,Ofensivo
21,@WendyAlfaro2021 @ClaudiaOrtizSV Una achichintle de vamos y funde que fue parte de la tregua con pandillas  por  favor diga una cosa que la excelsa ha hecho  por la población  no hace nada que andar de hotel  en hotel  dice ella que ahí hace territorio 😂,0,0,1
22,@AdrianKhota @suazohugo Un cholero de la izquierda uno que se acostumbro al buen vivir tanto así que perdió el curul hoy anda de lambiscon en la Corte de cuentas donde el presidente de esa institución le dio plaza como regalo por poner al achichintle de rodolfo parker en la Corte de cuentas,0,0,1
23,Excelente más merecía el achichintle! Jajajaja 😂😂😂 https://t.co/PVIPFxhY3V,0,0,1
24,"@Pedro_Castro D nuevo tenemos al embustero, bocachancla, soplagaitas, correvedile, gaznápiro, lameculos, adlátere  dl Dictadorzuelo, psicópata, camandulero, estafador, saqueador dl Antonio. 
Q sepa q: ""Gilipollas no lleva tilde, pero se acentúa con el tiempo""

https://t.co/apnLhNmLZd https://t.co/61hohafrTG",1,0,1
25,"@KarinaZ78588122 Ciertamente 👌🏼
Pero la #OposicionMiserableYMezquina a donde pertenece ésta adlátere de keith raniere, son el cáncer de la humanidad: mienten, roban y destruyen sin inmutarse.",0,0,1
26,"@Fran_Guerrero82 Otro soplagaitas,adlátere,correveidile,gaznápiro, lameculos e infame sinvergüenza.Ya vemos como denuncias las cabronadas q nos está haciendo el hdlgp dl Toño a todos los ""paganinis"", masacrar la económia,.. y gastarse ntros € para sus caprichos,su disfrute y su beneficio. https://t.co/k8YInaw4TP",1,0,1
27,"marietto adlátere de los #TRAIDORES_A_LA_PATRIA, compinche activo de la #OposicionMiserableYMezquina https://t.co/5gKspygvhA",0,0,1
28,"@Fran_Guerrero82 Otro soplagaitas, adlátere, correveidile ,gaznápiro,  lameculos, cínico, mezquino, fanático, sectario e infame sinvergüenza.Ya vemos como denuncias las cabronadas q nos está haciendo el hdlgp dl Toño a todos los q cotizamos, gastarse ntros € en su propio beneficio y arruinarnos a todos. https://t.co/kyB0GEcVUO",1,0,1
29,"@JesusCintora Otro soplagaitas, adlátere, correveidile, gaznápiro la voz d su amo, lameculos, cínico, mezquino,  fanático, sectario e infame sinvergüenza. Ya vemos como denuncias las cabronadas q nos está haciendo el hdlgp dl Toño a todos los q cotizamos, gastarse ntros € en su propio beneficio. https://t.co/T0oDifDqgS",1,0,1
30,"@juanlobato_es 🙄🤔....aquí tenemos otro soplagaitas, adlátere, correveidile, gaznápiro, la voz d su amo, lameculos, cínico, mezquino, fanático, sectario e infame sinvergüenza. https://t.co/Zs7Qub7LsN",1,0,1
31,"@juanroaro @MarkDeReborn Ese macuarro no es empresario, es un mafioso advenedizo. @epigmenioibarra",0,0,0
32,"Mi adorada Ciudad invadida de espectaculares de la basura @Sergeluna_S quién jamás ha realizado nada en pro de Veracruz dícese nativo de Minatitlán y casualmente nadie lo conoce, otro advenedizo de la política cuatrota.

Oposición Unida por amor a 🇲🇽 juntos con @Pepe_Yunes . https://t.co/mskRkJP4bz",0,0,1
33,"@fernandeznorona Cuál valentía?  Eres un pelagatos,  un advenedizo",0,0,1
34,"@PilardelaMaza1 @julietaetznab NINGUNO, dicho por él mismo. Es advenedizo de cualquiera que le de el poder y los reflectores que él necesita para alimentar su ego. Un farsante pues.",0,0,1
35,"@PonchoGutz Y te creo mijo, el buen gusto no se compra!!! Aunque recibas harto chayote de López Obrador, tu seguirás perfumándote en Liverpool. Tú eres un ocasionado advenedizo nada más",0,0,0
36,@SergioSarmiento Y la suya cuál es señor advenedizo?,0,0,0
37,"Que pinche advenedizo de mierda es @Paco_Villa_...

Ahora sí muy indignado por ""el uso del VAR"" contra los chemos, pero cuando los ayudaron incluso para conseguir un campeonato no se quejaba.

Ándale wey, mejor ve a aprender a cortejar a una mujer que no sea tu hermana.",1,1,1
38,@tyannadlr Que le puede importar a un nuevo leonés lo que un advenedizo opinar más si es de la camisa amarilla pues claro jamás nos importará,0,0,0
39,"@JesusRCuevas @MorningConsult @lopezobrador_ Pobre País hecho un cagadero y ustedes preocupados por la popularidad y aceptación.
No se ve por ningún lado todas las soluciones que él decía tener para los males que aquejan al país (porque lo sabía desde que era el candidato eterno).
Enloqueció y se llenó de puro advenedizo.",1,0,0
40,@lpazosp Otro pobre advenedizo 👆al cual Alito le da sus vergazos.,1,0,0
41,"Ya oyeron a este advenedizo, se sirve del erario y defiende al terrorismo de estado, sólo en México pasa 

El narco y la derecha con un interés en común: destruir a AMLO, dice Epigmenio Ibarra ante ola de violencia  https://t.co/VWSD50bw4a vía @El_Universal_Mx",0,0,0
42,@EmilioAlvarezI Cállate advenedizo!,0,1,0
43,¡Lo castigan! Policía sanciona a Cristiano Ronaldo por aventar celular de aficionado https://t.co/Yx2aGzS6nA,0,0,0
44,@HEB_mexico Mi motivador para ser Tigre de Corazón 🙌👏fué El AFICIONADO NUMERO UNO DE LA U! LA U! LA U!: 🐯🐯Don Roberto Hernandez JR🙏 no me perdía sus programas y recuerdo  mucho sus gloriosas e incomparables narraciones en compañía de mi Papá😍 https://t.co/qv1zZi7fWf,0,0,0
45,"#ClasicoRegio128 Cuando leo a los rayados pendejos festejando al par de animales que casi matan al aficionado tigre, así los imagino: https://t.co/z39T3lQQER",1,0,1
46,"¿Se acuerdan del video de Cristiano Ronaldo que se hizo viral por tirarle el celular a un fan en abril? Pues hasta ahora el Bicho será amonestado por la justicia inglesa

Entérate: https://t.co/P0aEQ8nuv2
#PremierLeague #ManchesterUnited #Everton #CristianoRonaldo #ExtraCancha https://t.co/V9l3BTkQW6",0,0,0
47,"Ya hay sanción para Cristiano Ronaldo después de aventar el teléfono de un aficionado.. 

https://t.co/mULe4UC9vT",0,0,0
48,"Excelente semana para el fútbol aficionado de Michoacán.: * Campeonas en categoría Libre Femenil.

Morelia, Mich.- Positiva semana se tuvo para Michoacán y su fútbol femenil tras obtenerse un primer lugar y un tercer sitio en el Torneo Nacional… https://t.co/QU6qDASEpo",0,0,0
49,"Vía @muralcom En abril pasado, Cristiano Ronaldo azotó el teléfono móvil de un aficionado que lo grababa, por lo que recibió una amonestación condicional

#CR7
#PremierLeague
#LeeloEnCANCHA

 https://t.co/MJS8QgkOS6",0,0,0
50,"Vía @muralcom En abril pasado, Cristiano Ronaldo azotó el teléfono móvil de un aficionado que lo grababa, por lo que recibió una amonestación condicional

#CR7
#PremierLeague
#LeeloEnCANCHA

 https://t.co/aHhyt0q92A",0,0,0
51,"Vía @muralcom En abril pasado, Cristiano Ronaldo azotó el teléfono móvil de un aficionado que lo grababa, por lo que recibió una amonestación condicional

#CR7
#PremierLeague
#LeeloEnCANCHA

 https://t.co/2FezqoZVIO",0,0,0
52,"En abril pasado, Cristiano Ronaldo azotó el teléfono móvil de un aficionado que lo grababa, por lo que recibió una amonestación condicional

#CR7
#PremierLeague
#LeeloEnCANCHA

 https://t.co/CsTFvXtBdW",0,0,0
53,"Vía @reforma En abril pasado, Cristiano Ronaldo azotó el teléfono móvil de un aficionado que lo grababa, por lo que recibió una amonestación condicional

#CR7
#PremierLeague
#LeeloEnCANCHA

 https://t.co/i1EDQZuUbM",0,0,0
54,"Vía @reforma En abril pasado, Cristiano Ronaldo azotó el teléfono móvil de un aficionado que lo grababa, por lo que recibió una amonestación condicional

#CR7
#PremierLeague
#LeeloEnCANCHA

 https://t.co/bypc5K3fKK",0,0,0
55,"Corea del Norte lanza dos misiles de crucero hacia el mar Amarillo: Corea del Norte realizó este miércoles un lanzamiento de prueba de dos misiles de crucero, hacia el mar Amarillo, indicó un oficial militar surcoreano citado… https://t.co/f7UAOxzEzp #Noticias #News #Venezuela",0,0,0
56,"Exacto se andan persignando con entrevistas compradas, en las mañaneras les pasan las preguntas a modo a cambio de un sobre amarillo. https://t.co/dIUdjZg6D9",0,0,0
57,"¿Ya compraste tus blusas favoritas con el 20% de DESCUENTO? La frescura que transmiten las blusas de color amarillo es única, el amarillo es una tonalidad viva y optimista. Ahora ya sabes qué color combinar en tus outfits para vibrar alegría. 

#blusas #shorts #mujeres https://t.co/R8uF47HEnU",0,0,0
58,"@PaulayMauricio2 Que regocijo es recrearnos la vista con su ser.

🤩🙃

Y sí,  la que de amarillo se viste....

Majestuosa",0,0,0
59,"#DíaNacionaldelasAbejas 🐝

Te contamos la importancia de este amarillo insecto, te sorprenderá 

https://t.co/HVP9UGwkcn 

#EnfoqueNoticias | #noticias",0,0,0
60,"Hoy hace un año mi corazón se pintó de color amarillo!💛🤍🖤
Feliz y bendecida por estar donde algún día lo soñé. Muchas metas, muchos sueños y muchas ganas de lograrlo. Actitud, perseverancia y fe✨🌟 https://t.co/IdWAszCc92",0,0,0
61,Miércoles de amarillo vainilla 💛,0,0,0
62,@soymaestramiel Y no todo líquido amarillo es cerveza... Sobre todo en los estadios 😂😂😂😂😂,0,0,0
63,"PULSERA CABALÍSTICA

La Cromoterapia de la Cábala y el siginificado de los colores:

Los colores cálidos son estimulantes, como el rojo, el naranja o el amarillo. Los colores fríos son más relajantes, como el verde, el azul o el violeta.

#LaOriginal #ap
@AnillosPortilla https://t.co/ypwU34URJZ",0,0,0
64,"@qtf nena tu te vez hermosa siempre, verde, azul, amarillo, negro o sin pelo, ERES UNICA Y HERMOSA!!!!",0,0,0
65,"Inspírate en ellas para llevar el amarillo con mucho estilo💛
#fashion 
https://t.co/lnXm9gbVM9",0,0,0
66,"Por el tipo de industria, eso amarillo me suena a azufre y el azufre en la atmósfera no se pudiera relacionar a nada bueno... https://t.co/6KfNjxaT5V",0,0,0
67,@Mike_Oviedo El gobierno actual sigue aplicando políticas neoliberales y siendo amigacho del poder económico. ¿De qué estás hablando?,0,0,0
68,"El otro dia cuando vino mi amigacho @JaviviDarkie me trajo unos regalitos, unos cromos de Trunks que no tenia, alguno de hyoga que ya tngo (pero no sobra) y una botella de Ice Tea de Nico Robin (que me encanta y no me bebere) Thanks bro como siempre por contribuir a mis fetiches https://t.co/A86hVhfHHY",0,0,0
69,PATRIA Y MUERTE!!!!!! @DiazCanelB CHINGA A TU PUTA MADRE! Amigote de @lopezobrador_ https://t.co/yLnHKyN0sN https://t.co/t1SSF76PiD,1,0,1
70,Así el amigote de #JoseRamonLopezBeltran182 #JoseRamonLopezBeltran182 #JoseRamonLopezBeltran182 https://t.co/fM961uxb2L https://t.co/7teZFOqrD3,0,0,0
71,El amigote de #JoseRamonLopezBeltran182 es basura gigantesca #CallatePalero es lo único que nace decirle https://t.co/082sEdifTH,0,0,1
72,"Gente sorprendida porque el PP no condena a Nicaragua y mandó a su otro amigote a Venezuela...

Ja! 🤡 https://t.co/OaLLrNexvH",0,0,0
73,",@HijosDeMx Que pinche preocupación del Sr. presidente ,@lopezobrador_  México es sacrificado y al Sr. se le ocurre presentar a su amigote 

 Y “si” el futuro para los #HijosDeMx sigue siendo incierto https://t.co/cKBZaiT5Kz",1,0,0
74,"@EmbajadorMiso Has notado que cuando el entrenador no es amigote de Lleida no trae buenos fichajes, es como para serruchar el piso al entrenador",0,0,0
75,"@forozcolg @AccionNacional @FelipeCalderon @ClaudioXGG No tarado. Fueron los del cartel Jalisco y los mexicles de Juárez por el cínico apoyo de AMLO al cartel de Sinaloa. Es cómplice, amigote, socio. Cómo eres animal!!!!",0,0,1
76,El amigote de #JoseRamonLopezBeltran181 #JoseRamonLopezBeltran182 #JoseRamonLopezBeltran182 #JoseRamonLopezBeltran182 https://t.co/TcsLyypSuS https://t.co/2R8kDtHzPQ,0,0,0
77,"@Gbastidas @lcsuzzarini No se puede votar en contra de un amigote, me Astengo",0,0,0
78,"@PedroFerriz  pero que forma de ponerse las rodilleras para lamer los gemelos ( si es que los tiene),  a @FelipeCalderon Que no sabes que su amigote Genaro esta imputado por diverso y graves delitos ? https://t.co/JqhXD4onnK",0,0,1
79,El amigote de #JoseRamonLopezBeltran181 #JoseRamonLopezBeltran181 #JoseRamonLopezBeltran181 https://t.co/GuOsicseDY https://t.co/UL3iG4pyF3,0,0,0
80,"@SinLinea_Mx La confianza que le da ser amigote del presidente AMLO y que este lo cubra con su manto protector, ha ver que pasara cuando salga AMLO y ya no pueda cubrir a sus finos amigos",0,0,0
81,"@WWBraveheart También a la cultura impulsada por su amiguete el guatemalteco de cuarta, en donde volvieron ídolos a los narquillos en sus narcoseries que tanto ##$@@*£% a gran parte de la población menos preparada",0,0,1
82,@AntonioRNaranjo @eldebate_com Tú si has sido denunciado y condenado😉y tu amiguete negro también 😉,0,0,1
83,"@MargaritaRepo Igual pasaba con el paraco en crocs... sólo que en su vulgar caso, habìa razones PROBADAS, no complots de falsa presidencia para hurtar, como su amiguete GUAÌDO",0,0,0
84,"@MisterCruyff14 @1critalvent @gerardromero @JijantesFC Al que desplaza es a dest para que Roberto juegue, no tiene con seguir poniendo a Alba y  Busquets, ahora nos cuela a otro amiguete 
Es una falta de respeto hacia la directiva con el señor mercado que ha hecho y hacia los aficionados",0,0,0
85,@gerardromero @JijantesFC Otro puesto libre para otro amiguete,0,0,0
86,@girlblooming_ Claro amiguete https://t.co/ZTfmQHXA0H,0,0,0
87,"@Mikelnhao Tenía un amiguete que decía:
Tengo ganas de tirarme a Inés otra vez.
- ¿En serio te has tirado a Inés?
No, pero ayer también tuve ganas.

Era un crack.",0,0,0
88,no es cierto amiguete 😹😹 https://t.co/9415qGdJ6m,0,0,0
89,"@mr_luka77 @RealSeasonNT1 Es que llega a ser otro y con la vergüenza ajena de ayer tw madrid lo descuartiza. Pero como es amiguete de tuiteros, muchos se callaron. Qué un periodista coleguita de marca mola tener al parecer. Otro tonto más. Solo hay que ver sus respuestas. No admite el error.",0,0,1
90,"Yo: me duele la rodilla 
Automáticamente samuel: que jodes con eso, te voy a comprar un andarivel jajajajajaja",1,0,0
91,"Mi abuela materna acaba de cumplir 97 años, no usa andarivel, ni bastón ni silla de ruedas para caminar, se baña sola y le gusta cocinar.
Y yo aquí, 100% seguro que con mi salud actual no voy a llegar vivo a los 50 si acaso.",0,0,0
92,"@PiedadGonzlez84 A mi lo que opine este andoba me importa un carajo, es completamente indiferente, busca una de casito...",1,0,1
93,"Me molesta más la falta de respeto de quien se atrevió a cobrar por haber hecho un andrajo como el que se tuvo que poner Rubí, que sus desafinaciones... ¡Tomen cartas en el asunto la próxima temporada! @AztecaUNO @Azteca @LaAcademiaTV #LaAcademiaGranFinal https://t.co/QprVYzM7NZ",0,0,0
94,"@zuldayomar @Josue_0703 @CoralDeMar3 @Apoloskf @cieloazuldecuba @LizyAcosta4 @CamilaGzlez34 @Giro5O @mima_carmen Todas las bajezas en que podía caer un ser humano, a caído este degenerado. Solo falta que caiga en el Seúl o directo al infierno. Si lo llamara un día sería; ALMA NERVIO Y SANGRE DE TODOS LOS LACAYOS DEL DECADENTE IMPERIO DE LA OTAN. HIJO DE SATÁN, ANDRAJO DE CARNE, HESE FECAL.",0,0,0
95,@JorgeNe28974730 @BeluLombardi__ Entonces eres anormal jejeje,0,0,1
96,La emoción que tengo es anormal 🤞🏻,0,0,0
97,"@ViviMaestra @blancafleming @BeluLombardi__ Es falaz lo que respondes, es subjetivo. 
Objetivamente, tanto la heterosexualidad como la homosexualidad y bisexualidad, así como lo trans, son condiciones biológicas. Es un aspecto normal. Lo que sí es anormal, es apelar contra esto, por no entender la biología.",0,0,0
98,"▶ ""Al estar tan limitados y saturados, cualquier situación anormal como un temblor, un cierre de pistas, un bache, generan un caos; no podemos darnos el lujo de descuidar el AICM""

La opinión del capitán José Suárez Valdez en #MILENIOAlMomento https://t.co/Q2DGCo0hvQ",0,0,0
99,"A los 30 debes de tener:
🔵 Un amigo con terrible historial romántico
🟡 Un amigo con profundo conocimiento de algún tema anormal
🟢 Un amigo con historial criminal causado por activismo
🔴 Un amigo temido en ciertas partes de la red",0,0,0
100,@blancafleming @BeluLombardi__ Señora anormal no quiere decir que sea malo pero es anormal y se lo explico así: 7 mil millones de seres humanos  y sólo entre el 5% y 10% son homosexuales no lo califico de malo pero no es normal,0,0,1
101,"La Enfermedad de Coats es la enfermedad visual 👀 que más afecta a la población masculina 🤦‍♂️. 
Es un proceso crónico que causa un desarrollo anormal de los vasos sanguíneos de la retina 👁 y desarrolla una pérdida significativa de la visión 🦯.
#Coats #enfermería #nurse https://t.co/aftnRMx3UM",0,0,0
102,"@BeluLombardi__ ""Anormal"" ""Aberración""   es normal decir a otro ser humano hijo de Dios anormal porque siente el amor de pareja de forma diferente? Es aberración un acto de amor?  Si... seguro quienes piensan así tienen ganado el cielo...",0,0,0
103,"@Oswaocho @QuinteroCalle Ya salió el primer anormal a exigirle que acabe con lo que ellos promovieron por más de 20 años..... A cuál alcalde todo le funcionó y volvió a Medellin el cielo?   Ninguno,  deje de criticar y quejarse de quien si lo intenta.   El que suele criticar nada tiene para dar.",0,0,1
104,"Una enfermedad crónica poco frecuente que genera una pérdida progresiva de la visión, especialmente en niños y jóvenes, ocasionado por un desarrollo anormal de los vasos sanguíneos que irrigan la retina. #CubaPorLaSalud @MINSAPCuba @japortalmiranda https://t.co/FJUPGOyLkZ",0,0,0
105,felicidad extrema anormal a simple tristeza extrema común,0,0,0
106,"@ruhsantiago99 @RastaHavana @ElCarvoOficial Simple, eres anormal.",0,0,0
107,El Padre es el padre de ese arrapiezo https://t.co/liMslpjsBj,0,0,0
108,@leonugo @LeonardoCurzio @SEP_mx Hoy en la mañanera denostó al Dr Curzio por criticar la decisión de nombrar a personal de apoyo como titulares de secretarias consideradas estratégicas y de paso lo utilizo de pretexto para arropar a su muy criticada nueva secretaria.,0,0,0
109,"@DaleAzulyOro Que le digan que ya va medio torneo, ellos son los que deberían arropar la adaptación de Dani al fútbol mexicano, pero no, todos parecen nuevos.",0,0,0
110,"@TigresFemenil Afición! Démonos a la tarea de arropar a la crack @CharlynCorral y de aplaudirle a Hermoso. Claro, una vez iniciando el juego, es 100% con nuestras Amazonas 👊🏼🔥",0,0,0
111,@antoniogirbau @VicentSwan @LigaBBVAMX Todo estaba planeado para arropar a shit vas. Se cagaron de miedo,1,0,0
112,"@valventress_ Nooooooooo, un maremoto debe arropar esta bendita isla 🤦🏻‍♂️😫",0,0,0
113,"@elzaam17 @JonZuCa @DongoyoMx @mevaherrera @elzaam17 we tu discurso de arropar a los chavos ya me tiene hasta la madre la neta.
La cantera es una cagada y los extranjeros son otra cagada, deja de.pensar que se va a solucionar mentiendo aun mas cagada",1,0,1
114,"La inmensidad de esta FVF de nuevas caras y rimbombantes gestiones, no alcanza para arropar a su propio fútbol local. https://t.co/R6QsEsUIJm",0,0,0
115,"-Pequeño, vaya a dormir y se arropa bien.
- ¡QUÉÉÉ! Señora, no arropar a sus hijos para dormir es un delito en el mundo niñal.
-😂 ¿En serio? ¿Hay una ""Ley del mundo niñal""?
- Sí. Esa ley dice que las madres deben arropar y acompañar a sus hijos a dormir hasta los 11 años.
😄😍",0,0,0
116,Arropar tu corazón… ♥️ https://t.co/wNDJ0YYtlp,0,0,0
117,"@Ovalle_Leo @LaComadritaOf2 @erasmooficial @menycarrasco Y de qué sabe enseñar y arropar y guiar a otro cantante, así se hacen los duetos, de hecho Rubí estuvo mucho menos nerviosa y cantó mejor. Los mejores fueron el de Nelson y el de Rubí. Los demás estuvieron desequilibrados.",0,0,0
118,"@softycrowie Owww

Vení te arropó tmb

Mua

/Arropar too",0,0,0
119,@AnaGaby_RU @menycarrasco Tipazo menny 🫶 gracias por arropar y hacer brillar juntos a rubí ✨💕👏🏻🍷🌹,0,0,0
120,"@cristianritondo @mauriciomacri Podes explicar lo que dijo la jueza de San Isidro, Sandra Arroyo Salgado?",0,0,0
121,"En el marco de la Feria Internacional del Arte Efímero y la Dalia Huamantla 2022, se llevó a cabo el maratón de básquetbol “48 horas, día y noche jugando”, en la Unidad Deportiva “Miguel Arroyo Rosales”, teniendo como invitados especiales a los “Triquis”. https://t.co/MZR0Qwv7ZZ",0,0,0
122,"🔷 Por lo menos 10 familias fueron afectadas por la crecida y desbordamiento de un arroyo en Atolinga.
➡️ https://t.co/NLXDJdly42

#LaNotaMunicipios",0,0,0
123,"#TomePrecauciones en #Tabasco continúa cierre parcial de circulación por conclusión de maniobras, tras #AccidenteVial aproximadamente en el km 090+100 carretera (813) entronque La Venta-Arroyo Hondo, mismo tramo, dirección Villahermosa. Atienda indicación vial",0,0,0
124,Así vuelve a lucir la calle José Joaquín Herrera #60 y alrededores colonia centro puestos de comida en arroyo vehicular y carros en doble fila @A_VCarranza @UCS_GCDMX @OVIALCDMX @SSC_CDMX @SeGobCDMX @NoticiasImagen @AlertaPMexicano @adn40 @Foro_TV @nmas @NTelevisa @telediario https://t.co/GfqY4ZPuIt,0,0,0
125,"#ÚltimaHora 🚨 El cuerpo del hombre, que no presentaba signos de violencia, quedó atorado en la orilla del arroyo.
https://t.co/hbBkmn73I5",0,0,0
126,"Hallan a hombre ahogado en arroyo, tras tromba en Apatzingán
https://t.co/tYrtxNh4Iy",0,0,0
127,"Hallan a hombre ahogado en arroyo, tras tromba en Apatzingán https://t.co/oJsGgKrC3R",0,0,0
128,"#Matehuala Lesionada abuelita de 99 años tras volcadura en Doctor Arroyo.

https://t.co/hM6rGgcO7o",0,0,0
129,"#Entérate 
Hallan a hombre ahogado en arroyo, tras tromba en Apatzingán 
Nota:https://t.co/aRdUTBtdLX",0,0,0
130,@yosoylector Gracias! Aquí te dejo uno escrito por mí para la curiosidad del #TeamCuentos https://t.co/2ALOYJeWC3,0,0,0
131,Cosas innecesarias y las pinches muelas del juicio🫠🙄,1,0,0
132,Duda para la banda que tiene mascotas y también hace home office. Utilizan alguna aspiradora o artefacto para los pelos que sueltan sus mascotas? Cuál me recomiendan? Porque Newt está mudando de pelaje y me deja el escritorio tapizado en pelos :S,0,0,0
133,"Los ingenieros y técnicos arman el artefacto para poder lanzarlo en octubre de 2024.

MVS Noticias

El cuerpo de la nave será durante dos años el foco de atención en el ultra higiénico High Bay 1, el núcleo de esta nave espacial Europa Clipper de la

https://t.co/hBNyniB78J https://t.co/3K8qa77dg9",0,0,0
134,"#FiscalíaSLP | Fiscalía detuvo en Xilitla a sujeto involucrado en homicidio. La víctima perdió la vida por lesiones producidas por un artefacto punzocortante.
La nota completa en: https://t.co/Tw8zBH1NlB
#FiscaliaSLPMasCercanaALaGente https://t.co/knrlQmfI0p",0,0,0
135,"mi suerte nada ni nadie me la vuela, mas bien soy el artefacto mágico que todo el mundo quiere tener",0,0,0
136,Quien más conoció este artefacto? https://t.co/X8yoeLrY0O,0,0,0
137,"Un artefacto. Tanto si eres de derechas como de izquierdas no puedes aceptar esta neolengua de la Izquierda Abertxandal. 
No era un artefacto sacado de Harry Potter,  era una bomba para matar a alguna persona. 
Memoria. https://t.co/oNejNG4iiK",0,0,0
138,"La preposición: ese artefacto inquieto que nos mantiene despiertos.

(@laurawittetc)",0,0,0
139,"@drdan_o @ArtHistoryBRU Awww!!!!! 😱😱😱😱😱😱😱😱😱😱😱😍Qué impresionante artefacto, que no pintura!!! Memento mori!!! “Recordatorio de la muerte” “Recuerda, morirás“",0,0,0
140,"#PorSiNoLoViste 
Al arribar al lugar los cuerpos de emergencia tomaron contacto con los encargados quienes dieron a conocer la localización de un artefacto explosivo.
https://t.co/zrTcv1RZEw",0,0,0
141,"@MawSaldivar Y que tenía vario artefacto peligroso en casa, sofás y sillas que se elevaban, túneles, una escalera que nomás de verla ya me mató... https://t.co/dVhAcFKaRo",0,0,0
142,"Especular sobre lo que sabe o no sabe el personaje es una tontería. Lo que cuenta es lo que dice y hace en la historia. 
El relato es un artefacto hecho de muchas capas y aristas: es así para el espectador. Los personajes, los objetos, los pensamientos dentro del mundo de la",0,0,0
