,Column1,Groserias,Vulgar,Agresivo,Ofensivo,Unnamed: 0
2704,,"@MundoMorbido Ya la jodieron con el enano, parece que no hay mas actores",1,0,0,2704.0
529,,@CesarVasRo Un pobre incomprendido.,0,0,0,529.0
4018,,@JesusRCuevas @GobiernoMX ¿Pa que chingaos un memorial...? Pinches inútiles.,1,0,1,4018.0
115,,No quería decirlo pero vaya día de mierda,1,0,0,115.0
2274,,"@CarlosLoret @latinus_us Tú cara de mustio nadie te la compra @CarlosLoret 🤡😂😂
Por cierto, dile a tu achichincle, el payasito sin webos, que por qué me bloqueó? 🤣🤣🤣🤣🤣 https://t.co/XRhCRPLX9N",0,0,1,2274.0
3150,,"@AlquiberalFunao @MosconCojonero @rangel2_2 @juanrallo @ComeBackDd Con una pluma y una hoja no produces un libro 😅
Estamos hablando de mercancías en el modo de producción capitalista, mercancías que son reproducibles en masa y son valores de cambio. Las hojas escritas por Marx no lo son, los libros que salen de la imprenta sí. No es difícil.",0,0,0,3150.0
2125,2125.0,"#Entrevista Juan Carlos Machorro discute sobre el aumento de los subsidios federales al AIFA y la situación de la infraestructura de la Terminal 2 en el AICM.
https://t.co/LK4SuTYXib",0,0,0,
2809,,Alo Moyo Contreras tremendo vejestorio https://t.co/tZPER8zW3i,0,0,1,2809.0
4235,,@pedroferriz3 Me caes de la fregada lo sabes pero ese Carmona no mames escribe mejor @tatclouthier jajajaja es esta cañón .,1,0,0,4235.0
4473,,"@Senora_del_opus @luuucaaaaaaasss @rocioenelnombre ¿Buscamos las del penas? ¿Contra Enrique del Pozo o Aida Nizar, por ejemplo?",0,0,0,4473.0
138,,@ferbelaunzaran Jajaajaj todo pendejo . Con todo y alianza...,1,0,1,138.0
585,,"@JesusSalazar__ no mamen, ya me llenaron el puto twitter de sus cursilerias",1,0,0,585.0
3681,3681.0,"@gladysmejiasf @raquelsolarino Cruzo los dedos para que está chiquita consiga un hogar amoroso y responsable.

En cuanto a los idiotas que la abandonaron como a un trasto, ruego porque un día los dejen en la calle, y lo pierdan todo. Por malnacidos 🤬.",1,0,1,
1437,1437.0,@ChairosMemes Don Porfis era un oaxaqueño que se sentía franchute.,0,0,0,
5520,,"📹 VIDEO ⎮ En pocos segundos roban un vehículo estacionado en la zona 19

El supuesto ladrón abre el carro en un dos por tres.

Esto pasó: https://t.co/mZMLVFhlTM https://t.co/HELEnuN1v9",0,0,0,5520.0
2183,2183.0,"#DineroPro financiera, alguien se algo se este negocio, solo están mame y mame que una persona no les paga y ni la conozco. Alguna recomendacion...????",1,0,0,
5373,,"Agradezco de todo corazón las muestras de solidaridad ante la brutal vulgaridad del  depravado que me insultó.

Sus expresiones violentaron mi dignidad.

Ya están en curso las acciones legales en defensa de mis derechos.",0,0,1,5373.0
838,838.0,@Campechame42 Jajajajaja debe ser uno que es un reporfan chiva y dice puras tonterías,0,0,0,
547,,@EmmanuelMijares @Eldiamantenegro Excelente. A mi el puto chelshit me tumbo un parley desde temprano,1,0,0,547.0
3021,,"Cómo licuar el cerebro de alguien por medio de un amarre, próxima investigación del @Yeyothechosen",0,0,0,3021.0
4281,,No mames siento que me voy a morir :(,1,0,0,4281.0
2815,2815.0,@AnSunshine_ Esa gente tiene pelusa en el cerebro y en el ombligo.🤭,0,0,0,
774,,"@macariomx @IrvingGatell El tipo es un ignorante, narcisista y psicópata",0,1,1,774.0
6,,"@TELMEXSoluciona totalmente cubierto, sin pinche internet ni como me roben",1,1,0,6.0
3633,,"@mario_delgado @lopezobrador_ Y la pregunta es cuando corres a @RicardoMonrealA este personaje traidor y que solamente ve por sus intereses. Que anda invitando a la dresser, ya córranlo, que esperan. Tipejo nefasto.",0,0,1,3633.0
882,882.0,@TCRivasOficial Bésame y calla CHUCHO EN LUNARIO,0,0,0,
4505,,Cada día soy más señora jejeje,0,0,0,4505.0
3310,,@felix_platero @laloespana Vete alv tu idiota  el no es la patria  para que yo me vaya mejor que se largue  el a cuba y Venezuela  qué  tanto  aman y que te lleve cabeza hueca  🤨,0,0,1,3310.0
5807,,"@Arouet_V @CitlaHM No se diga más, ella traga lo que sea...estás viendo y no ves.",1,0,1,5807.0
2312,2312.0,@MiguelP36190719 @_VicenteSerrano @lopezdoriga @LaydaSansores @alitomorenoc 😂😂😂😂👏🏼👏🏼👏🏼 Justo así el atascado marrano de Cerdano,0,0,1,
4437,4437.0,Es mucho pedir 10 lbs demás? 😭 Quiero engordar a cojon 😂😭,1,0,0,
928,,@fernandit0110 Q paso pa,0,0,0,928.0
1678,,Me duele en el alma leer esto. ¡Cerdo maldito! Lo esperan con ansias en el Centro Penitenciario. https://t.co/mUAFN1Zwkj,0,1,1,1678.0
4506,,JAJAJAJAJAJAJAJAJAJA señora la tqm https://t.co/NB3vVuTvcL,0,0,0,4506.0
723,723.0,"Leyendo a la Mara de Guatemala Inmortal estos lo que quieren es un Dictador y mejor si es un Chafarote,  eso ha hacen pensar. En una democracia hay oposición si quieren un dictador en Nicaragua, Venezuela y Cuba hay y son dirigidos x militares",0,0,0,
826,,"@JLozanoA @PRI_Nacional jajaja su cara de endeja de la trepadora @LillyTellez.
Siempre quiere mantener su risa socarrona de que esta feliz pero sabe que se la esta cargando la fregada.
Ya terminara como el miserable saco de pus y el patas de molcajete @ferbelaunzaran simples tuiteros ardidos ladrando.",1,1,1,826.0
5053,5053.0,"Porqué se quieren putear a los Jonas brothers? 

Contexto",1,0,0,
3791,,"@Alejand16670534 @gilbertolozanog @RicardoBSalinas @JLozanoA El pendejo eres tú por engancharte en algo que no te importa. Si no tienes un argumento valido mas que generalizar,  el hocico te queda mas grande que tu ignominia e ignorancia.",1,1,1,3791.0
622,,"#AlertaAlbaKeneth ⚠ | Cristel Sarai Sagastume Duarte, de 16 años de edad. Desapareció el 06 de julio de 2022, en San Luis Jilotepeque, Jalapa.

🔄Comparte y ayúdanos con su localización.
📞Si tienes información llama al 1546. https://t.co/s7cB32ronX",0,0,0,622.0
4198,4198.0,"@elmalosa @ClintPiticlint Qué le entre una cagalera con el mono puesto y el baño ocupado, seré compasiva 😁",0,0,0,
5374,,"#DíaDeLaMujerIndígena ✊🏽 @vicente_alida de la Alcaldía Indígena Poqomam de Palín, saluda a las lideresas y autoridades de los territorios que luchan por los derechos colectivos. ""Es importante que se levante la dignidad de las mujeres indígenas"" exigió la lideresa. 

📹 Cortesía https://t.co/W7izE7FiDR",0,0,0,5374.0
4767,,"cesia lo que dice lo cumple, como puede pero lo hace y esa es otra cosa que también le admiro demasiado, que todo se puede 🤍",0,0,0,4767.0
1332,1332.0,"@ojeeditaA @gyu003 @TorresErwerle Jajajajajjajaja ah, te limitas mucho mi estimado nariz de tucán, pero bueno tu país se cae a pedazos y les importa más el enano hormonado y el falopero",0,0,1,
3100,3100.0,"Decía mi padre: ""No juegues con fuego, porque un día te quemarás"". #AnabelHernandez perdió credibilidad y lástima que ""su fuente""🇺🇸 era uno de tantos más que están involucrados y por lo que México🇲🇽 ha llegado a ser tan violento. Esa gente no se toca el corazón hacia su prójimo. https://t.co/xwuek41IBs",0,0,0,
5684,,"@_VicenteSerrano Vicente marrano, por corriente!",0,0,1,5684.0
3061,,Quiero desconectar mi cerebro unos días.,0,0,0,3061.0
2866,,"@MariettoPonce Eres muy mezquino Marietto, al Sr. Gobernador le interesa su estado, no está pensando nada más en su cartera como ustedes la fachiza enferma, corrupta y reducida. Eres un  CERDO deleznable.",0,0,1,2866.0
812,812.0,"@YardaLovve Feliz cumpleaños a mi yardis hermosa!! Te queremos mucho corazón, la chiri y yo 😘😘😘 https://t.co/51oPocMJC3",0,0,0,
4331,4331.0,@Faitelson_ESPN A lo mejor necesita un chingadazo como el que te dio el tlatoani de Morelos en aquella tarde en Veracruz.,1,1,0,
5828,,hoy m enteré q un vato de por ahí no me traga y yo ni lo topo,0,0,0,5828.0
1004,1004.0,"@osuna_yoko Coño si, no entiendo cuando entenderán y el 🐇 les dice perra... Porque el nació de una....",1,0,1,
2931,2931.0,@DanieTurner7 62-62 y tres expulsados de tigres el piojo se encuera al ultimo gol,0,0,0,
1331,,@Martinsosap Despiértate huevon no son horas,1,0,1,1331.0
1288,,@Woshingo Estaba trabajando como siempre y mi tío estaba enojado con su hijo ósea mi primo porque llego y tarde y ese día tenían la feria de ese pueblo y teníamos que armar una rueda de la fortuna y un Himalaya en menos de 5 horas,0,0,0,1288.0
4078,4078.0,"Queremos resultados favorables a todo lo que nos deberia beneficiar como país educación, economia, salud, entre otras.
Ya basta de columnias en contra de la lucha de los pobres.
#AMLOMienteYNoDaResultados https://t.co/MBrASQnau4",0,0,0,
4493,4493.0,"@lmendezgr @descifraguerra Una medida importante para que los medios afines a Rusia no arraigasen aquí, sería que los propios del país dejasen de ser unos manipuladores y blanqueadores de fascistas del copón.
Si sería un buen comienzo!",1,0,0,
2013,2013.0,"@Gabrielabher Y para solucionar la vida entera: una con diablito! (Mayonesa, mantequilla y queso) #SeMeSalióLoMarginal #EsqiusMi",0,0,0,
5028,5028.0,Extraño un putamadral a mis amigos :(,1,0,0,
63,,ptm lo que es no tener ni mierda que hacer jajajajaja,1,0,0,63.0
4211,4211.0,Por favor no la vayas a cagar.,1,0,0,
530,,"Publicar un tuit es ""atentar contra la integridad de las personas"" dice la dictadura de Bukele. Pobre país, les va a faltar vida para lamentar en lo que se metieron. https://t.co/AC94LKjOFn",0,0,0,530.0
2996,,Que verguenza de todos los que estuvieron ahí!!... de todos!!!.. https://t.co/n42WJZLwaF,0,0,0,2996.0
2167,2167.0,Bayyyy malandra se que andas de party no eres ninguna santa 😮‍💨❤️‍🔥,0,0,0,
3683,,@JesusRCuevas @GN_MEXICO_ @SEDENAmx Jajajajajajaja de las dos formas depende del mismo tipejo!!!!,0,0,1,3683.0
1667,,"Que asco de jugador es Mbappe mierda  prefirió fallarla a dar un pase para Neymar.
Botate alv maldito cremoso✊🏼",1,1,1,1667.0
383,383.0,@GangOfFour1o El estado burgués sigue ahí y el movimiento comunista está más débil y desprestigiado que nunca en el Perú. Para eso sirvió SL.,0,0,0,
1975,1975.0,Se necesita personal para crear gas lacrimógeno. Es para emprendimiento Ya tengo un par de videos en YouTube. DM solo personas interesadas,0,0,0,
4837,,@ranfery_mdz @_Santidomwelsh Jamás seré generador de odio !! Siempre intentaré dialogar con argumentos válidos y sobre todo q eduquen y todos aprendamos 😘😘,0,0,0,4837.0
4758,,"Este es un gobierno “chimoltrufio”: como dice una cosa, dice otra 🤦🏻‍♀️ https://t.co/ZMYvZ3i6IJ",0,0,0,4758.0
493,,"@mario80co @mbrc11 @ebesc_ @PrezVentura1 ¿Sí sabe que la pobreza se perpetua por falta de educación (entre otras cosas)?
Ese niño explotado tiene muchas menos probabilidades de salir de pobre si no estudia.
En GT el promedio nacional de años de escolaridad es de 6.23. Hay municipios con 4 años y el mayor es de 9 años.",0,0,0,493.0
4589,,"@LOVREGA Todo el país está podrido, no de ahora lo está  desde tiempos inmemoriales, quieren que el país cambie de la noche a la mañana? tribunales, jueces, legisladores, empresarios, y sociedad estamos podridos, esa es la realidad del país.",0,0,0,4589.0
4612,,@Karengualquer Lo leo! Gracias Karencita. Me he pasado mucho tiempo informando sobre las GRANDES diferencias y los escenarios que una mala decisión traiga aparejada.,0,0,0,4612.0
4323,,"@gilbertolozanog @RicardoBSalinas @JLozanoA Ojala se haga, sería en momento más cómico del año.",0,0,0,4323.0
4522,,Deje las drogas señora https://t.co/ClKifAN93q,0,0,0,4522.0
2658,,No mames que dolor de huevos las transmisiones de la #BenditaChampions en #TNTsports que lastima se extrañan las noches mágicas de la #CHAMPIONSxESPN,1,0,0,2658.0
3131,3131.0,"@julioo_mena Vas muy bien: a tus distorsiones, a tu deshonestidad, a tu puerilidad coprofílica le añades ahora una insinuación calumniosa.

La chumelización es eso: estupidizarse y envilecerse.

Yo que tú aquí le pararía. Quién sabe qué tan bajo quieras seguir cayendo.",1,1,1,
5155,,Me siento así desde que cancelé mi plan porque todos los meses me llegaba casi de mil bolas y se volvió insostenible para mi economía https://t.co/xLinHp35pY,0,0,0,5155.0
